S. no.,PC #,PC,Administrative District,Organisational District,AC #,AC Name,Catg.,Caste,Population %,Given Count,"Voters 
GE 2024"
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,GEN,Jatt Sikh,5.00,8343,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,GEN,Brahmin,16.00,26694,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,GEN,Khatri,7.00,11679,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,GEN,Baniya,14.00,23358,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,GEN,Rajput,9.00,15015,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,OBC,Saini,11.00,18352,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,OBC,Ramgarhia,5.00,8342,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,OBC,Sikh Rajput,6.00,10010,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,OBC,Kamboj,2.00,3338,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,OBC,Labana,1.00,1668,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,SC,Ravidassia,6.00,10010,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,SC,Balmiki,5.00,8342,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,SC,Mahasha,0.0,-,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,SC,Bazigar,8.00,13347,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,SC,Bhagat,3.00,5005,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,MIN,Muslim,0.50,835,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,MIN,Christian,1.00,1668,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,1,1. Sujanpur,-,Others,0.50,835,166841
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),GEN,Jatt Sikh,3.00,5466,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),GEN,Brahmin,6.00,10931,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),GEN,Khatri,5.00,9109,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),GEN,Baniya,5.00,9109,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),GEN,Rajput,10.00,18218,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),OBC,Saini,13.00,23684,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),OBC,Ramgarhia,4.00,7287,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),OBC,Sikh Rajput,6.00,10931,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),OBC,Kamboj,1.00,1822,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),OBC,Labana,0.0,-,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),SC,Ravidassia,17.00,30971,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),SC,Balmiki,1.00,1822,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),SC,Mahasha,15.00,27328,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),SC,Bazigar,6.00,10931,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),SC,Bhagat,2.50,4555,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),MIN,Muslim,2.00,3644,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),MIN,Christian,1.00,1822,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,2,2. Bhoa (SC),-,Unknown,2.50,4554,182184
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,GEN,Jatt Sikh,5.00,7464,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,GEN,Brahmin,20.00,29857,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,GEN,Khatri,8.00,11943,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,GEN,Baniya,10.00,14929,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,GEN,Rajput,8.00,11943,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,OBC,Saini,12.00,17914,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,OBC,Ramgarhia,4.00,5972,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,OBC,Sikh Rajput,4.00,5972,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,OBC,Kamboj,2.00,2985,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,OBC,Labana,1.00,1493,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,SC,Ravidassia,8.00,11943,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,SC,Balmiki,6.00,8957,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,SC,Mahasha,0.0,-,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,SC,Bazigar,7.00,10450,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,SC,Bhagat,3.00,4478,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,MIN,Muslim,1.00,1493,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,MIN,Christian,1.00,1493,149286
1,1,1. Gurdaspur,Pathankot,Pathankot,3,3. Pathankot,-,Unknown,0.0,-,149286
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,GEN,Jatt Sikh,16.00,27518,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,GEN,Brahmin,10.00,17199,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,GEN,Khatri,6.00,10319,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,GEN,Baniya,4.00,6880,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,GEN,Rajput,9.00,15479,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,OBC,Saini,2.00,3440,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,OBC,Ramgarhia,5.00,8599,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,OBC,Sikh Rajput,2.00,3440,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,OBC,Kamboj,1.00,1720,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,OBC,Labana,1.00,1720,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,SC,Ravidassia,13.00,22360,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,SC,Balmiki,11.00,18919,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,SC,Mahasha,0.0,-,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,SC,Bazigar,10.00,17199,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,SC,Bhagat,4.00,6879,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,MIN,Muslim,1.00,1720,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,MIN,Christian,5.00,8599,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,4,4. Gurdaspur,-,Unknown,0.0,-,171990
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),GEN,Jatt Sikh,5.00,9647,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),GEN,Brahmin,10.00,19295,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),GEN,Khatri,5.00,9647,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),GEN,Baniya,5.00,9647,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),GEN,Rajput,5.00,9647,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),OBC,Saini,5.00,9647,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),OBC,Ramgarhia,6.00,11577,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),OBC,Sikh Rajput,4.00,7718,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),OBC,Kamboj,1.00,1930,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),OBC,Labana,0.0,-,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),SC,Ravidassia,21.00,40518,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),SC,Balmiki,3.00,5788,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),SC,Mahasha,20.00,38589,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),SC,Bazigar,5.50,10613,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),SC,Bhagat,3.00,5788,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),MIN,Muslim,1.00,1930,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),MIN,Christian,0.50,965,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,5,5. Dina Nagar (SC),-,Unknown,0.0,-,192946
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,GEN,Jatt Sikh,30.00,54639,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,GEN,Brahmin,4.00,7285,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,GEN,Khatri,2.00,3642,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,GEN,Baniya,3.00,5464,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,GEN,Rajput,0.0,-,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,OBC,Saini,6.00,10927,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,OBC,Ramgarhia,2.00,3643,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,OBC,Sikh Rajput,5.00,9106,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,OBC,Kamboj,0.0,-,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,OBC,Labana,3.00,5464,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,SC,Ravidassia,10.00,18213,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,SC,Balmiki,8.00,14570,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,SC,Mahasha,0.0,-,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,SC,Bazigar,4.00,7285,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,SC,Bhagat,2.00,3644,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,MIN,Muslim,15.00,27320,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,MIN,Christian,6.00,10928,182130
1,1,1. Gurdaspur,Gurdaspur,Gurdaspur,6,6. Qadian,-,Unknown,0.0,-,182130
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,GEN,Jatt Sikh,20.00,37980,189902
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,GEN,Brahmin,10.00,18990,189902
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,GEN,Khatri,10.00,18990,189902
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,GEN,Baniya,10.00,18990,189902
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,GEN,Rajput,5.00,9495,189902
1,1,1. Gurdaspur,Gurdaspur,Batala,7,7. Batala,OBC,Saini,0.50,950,189902
